commit	author_date	author	subject
c0259d9d4b52f82e12fa99d29d76226c2e1d39ee	2026-08-27T17:56:47+08:00	Arya	docs(practice): freeze service boundaries and assignments (#40)
9181e2c9655b3f0b751a0544e95b8ec77dfd5737	2026-08-27T19:22:10+08:00	Arya	build(devops): add MS-00 microservice scaffold (#41)
b166de4b6a2c58263be628788eb9801dfacf3c4f	2026-08-27T19:26:18+08:00	Arya	docs(progress): record MS-00 merge (#42)
a9429671ebf956ac862e1f5123291a3712bb48ef	2026-08-28T00:48:22+08:00	linming	ci(devops): publish standard JUnit reports
04785d4b55582f7e420007b250f1cfb2dab9a45c	2026-08-28T01:11:37+08:00	linming	docs(practice): complete Jenkins JUnit evidence
2fa106f28d2a0e1fcc42af338a05f0bddf5514fe	2026-08-28T10:21:12+08:00	Arya	Merge pull request #44 from DanTargaryen/ci/CI-02-junit-reports
7e223461c41ac64ffd97feb8321cd7a87d7e6ce9	2026-08-28T09:32:34+08:00	GloamingL	feat(ms-01): bootstrap identity-community foundation
6f54ff566e966b9d8e413f0cc79d97f2750cc482	2026-08-28T11:18:59+08:00	GloamingL	fix(identity): align review follow-up contracts
92b8817082e8b21c8116e414efb32b83fa0c5e2a	2026-08-28T17:15:37+08:00	linming	feat(identity): persist MS-01 foundation state
80868e917200396340e54424573498a2a4ff9d7f	2026-08-28T17:20:39+08:00	Arya	Merge pull request #45 from DanTargaryen/feature/MS-01-identity-community
be7a4199bf8d051ffbf7db772330b5c97d1fc6de	2026-08-28T18:51:41+08:00	mmdw-11	feat(content): complete MS-02 content-media foundation
a0c3d986ff51619b7b33e9c6bc0131c7bd495b81	2026-08-27T21:47:10+08:00	wyh	feat(live): add persistent live reward foundation
90bb79fc5374b68d10e5d5a81636d0068225fb95	2026-08-27T21:52:58+08:00	wyh	feat(gateway): route video coins to live ledger
5a6fb6be118f5aef7815d23c38ed3fc5a34eb96a	2026-08-27T21:56:17+08:00	wyh	fix(live): preserve gateway user identity boundary
c954c9bff0c88b76cb0c805596fab5276d9cd9b0	2026-08-27T21:58:45+08:00	wyh	fix(live): restore viewer state from persistence
fe8041d13353071a38cdf709ff3d801935889d51	2026-08-27T22:32:45+08:00	wyh	fix(live): harden runtime failure boundaries
